Mapped_Country,Year,CO2_Emission,TSE_Subsidy,GSSE_Subsidy,PSE_Subsidy
Argentina,1986,32595.959658333333,,,
Argentina,1987,31645.706674999998,,,
Argentina,1988,32317.893616666668,,,
Argentina,1989,32426.495191666665,,,
Argentina,1990,49144.686514583336,,,
Argentina,1991,50787.8752452381,,,
Argentina,1992,51580.24809047618,,,
Argentina,1993,51037.294752380956,,,
Argentina,1994,50107.50225208333,,,
Argentina,1995,51380.43783023256,,,
Argentina,1996,51682.353613953484,,,
Argentina,1997,50422.20650816327,149.8441,143.4721,6.372
Argentina,1998,51399.37076046511,64.473,178.4339,-113.961
Argentina,1999,52999.87633023256,-55.6958,149.2982,-204.994
Argentina,2000,50906.446161224485,76.1481,157.4578,-81.3097
Argentina,2001,59687.90580930233,-60.6433,165.7407,-226.384
Argentina,2002,60126.275513953486,-2313.6153,57.2762,-2370.8914
Argentina,2003,63606.26148139535,-2035.7639,65.999,-2101.7629
Argentina,2004,66080.70340232557,-3707.9249,73.9004,-3781.8254
Argentina,2005,66611.55737209303,-3536.3929,117.7271,-3654.1199
Argentina,2006,68100.20069767442,-3429.4443,170.9887,-3600.4329
Argentina,2007,68538.53285581396,-4576.8746,190.9783,-4962.1446
Argentina,2008,69457.04773488372,-5972.904,224.2229,-6948.9263
Argentina,2009,66130.44784418606,-4754.8496,240.2187,-5408.2871
Argentina,2010,64467.4819877551,-6285.6049,391.4431,-7362.8525
Argentina,2011,60411.82179302326,-10149.4354,452.7081,-10602.1434
Argentina,2012,60504.97660612244,-7488.8976,515.0018,-8003.8994
Argentina,2013,62404.08370232558,-10715.7488,531.8336,-11247.5824
Argentina,2014,62495.98502325582,-12177.6851,473.1053,-12650.7905
Argentina,2015,62793.559741860474,-10477.0168,675.1575,-11152.1743
Argentina,2016,57426.555813953484,-4456.6097,483.8963,-4940.506
Argentina,2017,58840.40669534884,-5028.8963,537.8331,-5566.7294
Argentina,2018,57958.10446511628,-7207.9466,316.846,-7524.7925
Argentina,2019,58342.027360465116,-7845.6652,261.0909,-8106.7561
Argentina,2020,57611.70690465116,-5635.3533,231.3113,-5866.6646
Argentina,2021,59122.38259767442,-12612.2122,224.528,-12836.7402
Argentina,2022,61316.43676046512,-12655.2292,385.7221,-13040.9513
Australia,1986,32085.759875,1623.9502,95.2966,1528.6536
Australia,1987,31255.49634166666,1144.3129,85.1286,1059.1843
Australia,1988,31685.708333333332,1366.5203,86.4385,1280.0818
Australia,1989,33000.26634166667,1457.476,136.7952,1320.6808
Australia,1990,61768.49992033898,1291.8286,127.5753,1164.2533
Australia,1991,61132.83143050848,1188.3597,156.0101,1032.3496
Australia,1992,58987.57637627119,1286.6222,143.1035,1143.5187
Australia,1993,58348.212955932206,1310.4276,152.4871,1157.9405
Australia,1994,58447.33411864407,1387.9682,173.7787,1214.1895
Australia,1995,57250.0667,1301.305,322.187,979.118
Australia,1996,57059.595559322035,1395.1997,313.9686,1081.2311
Australia,1997,57409.336462711864,1252.9043,479.1683,773.736
Australia,1998,58727.74444915254,1074.1533,366.8268,707.3265
Australia,1999,63989.00316271186,1015.8102,374.9246,640.8855
Australia,2000,66667.87691864406,993.9461,383.2344,744.4164
Australia,2001,68629.86704915254,1056.3482,397.9252,780.5305
Australia,2002,67487.00702881356,1254.5262,425.0557,952.5711
Australia,2003,56669.745593220345,1226.8733,529.1674,822.8317
Australia,2004,62299.970047457624,1261.782,630.1649,763.4511
Australia,2005,57781.13155762712,1470.9718,710.8703,899.0539
Australia,2006,63660.625386440675,1626.0109,744.9753,1023.3231
Australia,2007,62780.327099999995,1900.0383,680.058,1367.0818
Australia,2008,58205.81595084746,1604.84,627.0461,1117.8402
Australia,2009,59926.449237288136,1184.021,604.1042,720.0761
Australia,2010,56274.01386610169,1736.5869,752.4071,984.1799
Australia,2011,61757.189562711865,2093.8993,931.9481,1161.9511
Australia,2012,61001.536491525425,1882.4556,1072.9975,809.4582
Australia,2013,49382.518301694916,1838.8963,952.8916,886.0047
Australia,2014,51672.527489830514,1764.9814,1049.9628,715.0186
Australia,2015,50343.57194745763,1629.3717,924.4524,704.9193
Australia,2016,47260.832693220334,1859.1962,1120.6999,738.4963
Australia,2017,53179.10576949153,2485.3876,1376.7738,1108.6138
Australia,2018,53139.558600000004,2164.0348,1225.8,938.2348
Australia,2019,49590.37996779661,1979.9342,914.1775,1065.7567
Australia,2020,46935.92301206896,2206.0636,1289.225,916.8386
Australia,2021,62996.68908139535,2401.1232,1357.5158,1043.6074
Australia,2022,64214.745095348844,2711.7099,1191.0537,1520.6561
Brazil,1986,85724.908525,,,
Brazil,1987,88083.42513333332,,,
Brazil,1988,90034.95523333333,,,
Brazil,1989,92477.36536666668,,,
Brazil,1990,297266.6640612245,,,
Brazil,1991,298053.8339387755,,,
Brazil,1992,302837.13858163264,,,
Brazil,1993,305483.27006530616,,,
Brazil,1994,295150.428184,,,
Brazil,1995,330597.1396612245,-3634.7197,2343.4026,-5978.1224
Brazil,1996,328738.373584,-78.5431,2643.1646,-2725.0561
Brazil,1997,326663.26895399997,663.9574,3243.2151,-2613.5785
Brazil,1998,336649.21898199996,4087.4716,2914.3843,1119.9247
Brazil,1999,337191.18650799996,-282.8677,1617.6292,-1904.6133
Brazil,2000,323478.92791764706,5293.7947,1479.188,3780.8554
Brazil,2001,359742.637408,4061.3301,1541.7413,2458.2811
Brazil,2002,378560.327184,4150.5891,1041.5852,3100.5759
Brazil,2003,401204.454652,4876.4014,763.8002,4112.6012
Brazil,2004,412377.741722,4396.8591,1235.3226,3148.6733
Brazil,2005,391466.21517399995,6464.1766,1565.6494,4745.8554
Brazil,2006,368760.114124,7385.6164,1907.3287,4689.6634
