Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","F1718","Cereals excluding rice","2022","2022","kg CO2eq/kg","0.0956","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2022","2022","kt","404.7561","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","F1718","Cereals excluding rice","2022","2022","t","4232671.6","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","0113","Rice","2022","2022","kg CO2eq/kg","0.9356","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","0113","Rice","2022","2022","kt","553.8682","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","0113","Rice","2022","2022","t","592000","A","Official figure"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","20.7835","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kt","1696.9594","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","81649.23","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","02211","Raw milk of cattle","2022","2022","kg CO2eq/kg","3.9167","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2022","2022","kt","7621.4477","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2022","2022","t","1945903.74","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2022","2022","kg CO2eq/kg","25.7349","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2022","2022","kt","1224.0071","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","47562.08","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","02292","Raw milk of goats","2022","2022","kg CO2eq/kg","5.4211","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","02292","Raw milk of goats","2022","2022","kt","641.3821","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","02292","Raw milk of goats","2022","2022","t","118312.66","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2022","2022","kg CO2eq/kg","15.6937","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2022","2022","kt","1600.7531","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","102000","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","02291","Raw milk of sheep","2022","2022","kg CO2eq/kg","6.9273","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","02291","Raw milk of sheep","2022","2022","kt","1124.0959","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","02291","Raw milk of sheep","2022","2022","t","162269.88","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","02293","Raw milk of camel","2022","2022","kg CO2eq/kg","4.9544","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","02293","Raw milk of camel","2022","2022","kt","33.565","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","02293","Raw milk of camel","2022","2022","t","6774.81","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2022","2022","kg CO2eq/kg","0.4064","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2022","2022","kt","11.6998","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","28790.74","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2022","2022","kg CO2eq/kg","2.5058","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2022","2022","kt","54.035","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","21564.4","E","Estimated value"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","F1718","Cereals excluding rice","2022","2022","kg CO2eq/kg","0.1635","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2022","2022","kt","112.9555","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","F1718","Cereals excluding rice","2022","2022","t","690850","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","0113","Rice","2022","2022","kt","11.8103","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","0113","Rice","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","2.4443","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kt","72.6858","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","29736.3","A","Official figure"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","02211","Raw milk of cattle","2022","2022","kg CO2eq/kg","1.4853","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2022","2022","kt","1262.0433","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","02211","Raw milk of cattle","2022","2022","t","849690.26","A","Official figure"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2022","2022","kg CO2eq/kg","4.1721","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2022","2022","kt","32.4216","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","7771","A","Official figure"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","02292","Raw milk of goats","2022","2022","kg CO2eq/kg","1.9027","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","02292","Raw milk of goats","2022","2022","kt","149.3187","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","02292","Raw milk of goats","2022","2022","t","78478.79","A","Official figure"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","21112","Meat of buffalo, fresh or chilled","2022","2022","kt","0","E","Estimated value"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2022","2022","kg CO2eq/kg","5.3093","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2022","2022","kt","90.86","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","17113.43","A","Official figure"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","02291","Raw milk of sheep","2022","2022","kg CO2eq/kg","4.9641","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","02291","Raw milk of sheep","2022","2022","kt","352.9646","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","02291","Raw milk of sheep","2022","2022","t","71103.99","A","Official figure"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2022","2022","kg CO2eq/kg","0","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2022","2022","kt","0","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","16335.57","A","Official figure"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2022","2022","kg CO2eq/kg","1.0422","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2022","2022","kt","50.9842","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","48918","A","Official figure"
"EI","Emissions intensities","008","Albania","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","4.9864","E","Estimated value"
"EI","Emissions intensities","008","Albania","723113","Emissions (CO2eq) (AR5)","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kt","42.3886","E","Estimated value"
"EI","Emissions intensities","008","Albania","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","8500.8","A","Official figure"
"EI","Emissions intensities","012","Algeria","71761","Emissions intensity","F1718","Cereals excluding rice","2022","2022","kg CO2eq/kg","0.0864","E","Estimated value"
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2022","2022","kt","407.4333","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","F1718","Cereals excluding rice","2022","2022","t","4717336.36","E","Estimated value"
"EI","Emissions intensities","012","Algeria","71761","Emissions intensity","0113","Rice","2022","2022","kg CO2eq/kg","119.6753","E","Estimated value"
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","0113","Rice","2022","2022","kt","36.799","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","0113","Rice","2022","2022","t","307.49","E","Estimated value"
"EI","Emissions intensities","012","Algeria","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","6.964","E","Estimated value"
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kt","1031.4863","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","148116.09","I","Imputed value"
"EI","Emissions intensities","012","Algeria","71761","Emissions intensity","02211","Raw milk of cattle","2022","2022","kg CO2eq/kg","0.7248","E","Estimated value"
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2022","2022","kt","1764.1603","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","02211","Raw milk of cattle","2022","2022","t","2433986.67","E","Estimated value"
"EI","Emissions intensities","012","Algeria","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2022","2022","kg CO2eq/kg","28.1468","E","Estimated value"
"EI","Emissions intensities","012","Algeria","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2022","2022","kt","541.6527","E","Estimated value"
"EI","Emissions intensities","012","Algeria","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","19243.84","I","Imputed value"
