Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","22630.3173","E","Estimated value",""
"GT","Emissions totals","008","Albania","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","4160.6449","E","Estimated value",""
"GT","Emissions totals","012","Algeria","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","58835.1699","E","Estimated value",""
"GT","Emissions totals","016","American Samoa","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","144.8904","E","Estimated value",""
"GT","Emissions totals","020","Andorra","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","85.7222","E","Estimated value",""
"GT","Emissions totals","024","Angola","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","85157.9672","E","Estimated value",""
"GT","Emissions totals","660","Anguilla","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","40.6991","E","Estimated value",""
"GT","Emissions totals","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","231.2058","E","Estimated value",""
"GT","Emissions totals","032","Argentina","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","268071.6531","E","Estimated value",""
"GT","Emissions totals","051","Armenia","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","3279.1805","E","Estimated value",""
"GT","Emissions totals","533","Aruba","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","328.0895","E","Estimated value",""
"GT","Emissions totals","036","Australia","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","197288.4776","E","Estimated value",""
"GT","Emissions totals","040","Austria","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","17414.5406","E","Estimated value",""
"GT","Emissions totals","031","Azerbaijan","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","16794.4557","E","Estimated value",""
"GT","Emissions totals","044","Bahamas","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","1078.7817","E","Estimated value",""
"GT","Emissions totals","048","Bahrain","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","3908.5649","E","Estimated value",""
"GT","Emissions totals","050","Bangladesh","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","144589.3199","E","Estimated value",""
"GT","Emissions totals","052","Barbados","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","487.5858","E","Estimated value",""
"GT","Emissions totals","112","Belarus","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","86321.2659","E","Estimated value",""
"GT","Emissions totals","056","Belgium","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","22857.6248","E","Estimated value",""
"GT","Emissions totals","084","Belize","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","6073.515","E","Estimated value",""
"GT","Emissions totals","204","Benin","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","19419.2003","E","Estimated value",""
"GT","Emissions totals","060","Bermuda","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","59.6853","E","Estimated value",""
"GT","Emissions totals","064","Bhutan","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","695.9844","E","Estimated value",""
"GT","Emissions totals","068","Bolivia (Plurinational State of)","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","115112.3201","E","Estimated value",""
"GT","Emissions totals","070","Bosnia and Herzegovina","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","5865.4418","E","Estimated value",""
"GT","Emissions totals","072","Botswana","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","53800.4114","E","Estimated value",""
