Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2022","2022","t","63515","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","17883.38","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2022","2022","t","318402","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2022","2022","t","170508","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2022","2022","t","94687","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22249.01","Butter and ghee of sheep milk","2022","2022","t","3651.07","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22241.01","Butter of cow milk","2022","2022","t","38918.07","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","6219.68","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","762542.69","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","1878.44","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22254","Cheese from milk of goats, fresh or processed","2022","2022","t","10648.14","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22253","Cheese from milk of sheep, fresh or processed","2022","2022","t","9736.19","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01921.02","Cotton lint, ginned","2022","2022","t","23950","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0143","Cotton seed","2022","2022","t","47785.09","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","2168","Cottonseed oil","2022","2022","t","8290.89","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2022","2022","t","13438.07","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2022","2022","t","9126.15","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2022","2022","t","20825","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2022","2022","t","550.83","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21519.02","Fat of camels","2022","2022","t","257.05","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2022","2022","t","58035.99","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2022","2022","t","8007.69","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21515","Goat fat, unrendered","2022","2022","t","1729.17","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2022","2022","t","909792","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","21452.97","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","429059","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01441","Linseed","2022","2022","t","28579","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2022","2022","t","311000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2022","2022","t","3672.2","I","Imputed value",""
