Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01371","Almonds, in shell","2022","2022","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01371","Almonds, in shell","2023","2023","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01371","Almonds, in shell","2023","2023","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01341","Apples","2022","2022","ha","33311","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01341","Apples","2022","2022","kg/ha","31437.6","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01341","Apples","2022","2022","t","1047217","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01341","Apples","2023","2023","ha","33358","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01341","Apples","2023","2023","kg/ha","35487.6","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01341","Apples","2023","2023","t","1183794","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02132","Asses","2022","2022","An","742565","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5111","Stocks","02132","Asses","2023","2023","An","723357","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01311","Avocados","2022","2022","ha","19313","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01311","Avocados","2022","2022","kg/ha","17494.3","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","2022","2022","t","337868","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01311","Avocados","2023","2023","ha","22697","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01311","Avocados","2023","2023","kg/ha","18616.8","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","2023","2023","t","422545","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01312","Bananas","2022","2022","ha","458489","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01312","Bananas","2022","2022","kg/ha","15100","A","Official figure",""
